samplestamps,C1,C2
84156968,1198.6043701171875,1264.8480224609375
84156970,1155.102294921875,1224.0126953125
84156972,674.9602661132812,751.5051879882812
84156974,-958.4440307617188,-952.2549438476562
84156976,-2289.88037109375,-2341.18310546875
84156978,-1913.423828125,-1943.596435546875
84156980,-86.33526611328125,-40.01702880859375
84156982,1198.87841796875,1283.61865234375
84156984,681.589599609375,735.4177856445312
84156986,752.4231567382812,816.6315307617188
84156988,442.15618896484375,517.1102294921875
84156990,-402.65838623046875,-340.5767517089844
84156992,-2317.697998046875,-2345.9267578125
84156994,-2536.096923828125,-2578.17431640625
84156996,-1557.0628662109375,-1552.5601806640625
84156998,510.80902099609375,664.8251953125
84157000,577.8502197265625,902.7798461914062
84157002,452.93511962890625,653.7471923828125
84157004,409.8817138671875,643.6951293945312
84157006,106.04055786132812,296.7881164550781
84157008,-1406.6812744140625,-1283.52734375
84157010,-2773.9560546875,-2726.944091796875
84157012,-2339.4384765625,-2291.4462890625
84157014,-569.5261840820312,-456.6900939941406
84157016,942.8716430664062,1094.7196044921875
84157018,637.5684204101562,744.439697265625
84157020,803.8795776367188,911.6397705078125
84157022,585.5097045898438,687.5128173828125
84157024,-114.26078796386719,-34.284881591796875
84157026,-1952.1573486328125,-1963.1563720703125
84157028,-2339.621337890625,-2369.814697265625
84157030,-1305.8079833984375,-1299.1744384765625
84157032,873.201171875,961.9788208007812
84157034,1282.70068359375,1364.2052001953125
84157036,996.53369140625,1058.3287353515625
84157038,998.7891845703125,1069.4814453125
84157040,660.9705200195312,734.6369018554688
84157042,-730.18408203125,-713.166259765625
84157044,-2172.026611328125,-2223.761474609375
84157046,-1842.3201904296875,-1877.7225341796875
84157048,-249.6059112548828,-225.40628051757812
84157050,1344.7325439453125,1418.469482421875
84157052,990.2366333007812,1029.1280517578125
84157054,1046.7315673828125,1093.2200927734375
84157056,757.19580078125,812.133056640625
84157058,-60.69013977050781,-15.626330375671387
84157060,-2101.66259765625,-2140.653564453125
84157062,-2944.794921875,-3003.48291015625
84157064,-2482.173095703125,-2501.766357421875
84157066,-841.9692993164062,-780.4151611328125
84157068,-811.8671875,-755.7088012695312
84157070,-1624.1248779296875,-1592.78076171875
84157072,-2029.49560546875,-1995.783935546875
84157074,-2766.412841796875,-2731.97021484375
84157076,-4387.30615234375,-4408.46923828125
84157078,-6097.58740234375,-6198.29052734375
84157080,-5903.81201171875,-5997.12158203125
84157082,-4381.416015625,-4414.11865234375
84157084,-2502.5888671875,-2485.5126953125
84157086,-2562.9091796875,-2584.932373046875
84157088,-2218.03759765625,-2235.69091796875
84157090,-2038.6878662109375,-2053.26318359375
84157092,-2199.0673828125,-2230.33251953125
84157094,-3647.77197265625,-3771.32470703125
84157096,-3845.285888671875,-4000.76416015625
84157098,-2549.700439453125,-2684.941650390625
84157100,-11.152763366699219,-62.65900802612305
84157102,1098.316650390625,1045.67236328125
84157104,1073.1409912109375,997.5264282226562
84157106,1518.4996337890625,1451.757568359375
84157108,1444.9786376953125,1383.74853515625
84157110,541.226806640625,430.7001953125
84157112,-988.4837646484375,-1177.515869140625
84157114,-570.5728759765625,-746.5082397460938
84157116,1063.11376953125,952.0846557617188
84157118,3029.655517578125,2984.60009765625
84157120,2953.118896484375,2876.0048828125
84157122,3045.963134765625,2976.134765625
84157124,2939.54443359375,2876.939453125
84157126,2422.6044921875,2361.548828125
84157128,545.8706665039062,409.8443298339844
84157130,-213.9793701171875,-380.04132080078125
84157132,526.680419921875,395.455810546875
84157134,2606.299072265625,2568.400390625
84157136,3411.869140625,3387.736083984375
84157138,3040.38037109375,2991.449462890625
84157140,3096.227294921875,3066.436767578125
84157142,2726.51220703125,2705.290771484375
84157144,1553.814697265625,1495.01025390625
84157146,-246.43661499023438,-377.3704833984375
84157148,-190.61048889160156,-308.96270751953125
84157150,1153.80224609375,1103.9449462890625
84157152,3079.828369140625,3102.420654296875
84157154,2931.51953125,2928.026123046875
84157156,2828.46142578125,2829.87353515625
84157158,2652.44287109375,2661.198974609375
84157160,2050.642333984375,2063.813720703125
84157162,203.806884765625,139.69822692871094
84157164,-734.8363037109375,-837.1135864257812
84157166,-141.0149688720703,-215.0884246826172
84157168,1846.2413330078125,1857.6807861328125
84157170,2866.7421875,2896.71533203125
84157172,2384.498291015625,2382.57080078125
84157174,2479.926025390625,2492.94384765625
84157176,2131.689697265625,2155.0751953125
84157178,1033.9588623046875,1027.541259765625
84157180,-814.0313110351562,-897.4423217773438
84157182,-829.5828247070312,-902.2648315429688
84157184,399.094482421875,383.99151611328125
84157186,2392.735107421875,2456.411865234375
84157188,2321.76025390625,2360.01611328125
84157190,2185.3974609375,2222.747802734375
84157192,2079.589599609375,2127.43212890625
84157194,1524.2525634765625,1578.7412109375
84157196,-179.2624969482422,-196.8701629638672
84157198,-1285.0849609375,-1345.451171875
84157200,-703.71240234375,-737.2911376953125
84157202,1230.671142578125,1277.47119140625
84157204,2388.336181640625,2462.0234375
84157206,1942.4085693359375,1986.2303466796875
84157208,2003.14013671875,2060.715087890625
84157210,1678.401611328125,1745.5673828125
84157212,715.1932983398438,754.724365234375
84157214,-1170.4129638671875,-1217.341796875
84157216,-1312.341796875,-1354.8426513671875
84157218,-115.28260803222656,-111.42794799804688
84157220,1891.1556396484375,1979.360107421875
84157222,1990.1805419921875,2051.011962890625
84157224,1842.5860595703125,1900.08203125
84157226,1723.7935791015625,1791.030029296875
84157228,1245.865478515625,1315.394775390625
84157230,-362.55828857421875,-359.7212829589844
84157232,-1561.0213623046875,-1615.4227294921875
84157234,-1031.9608154296875,-1066.2208251953125
84157236,823.0282592773438,871.1450805664062
84157238,2099.988525390625,2181.351806640625
84157240,1651.011962890625,1695.38623046875
84157242,1733.7542724609375,1793.0611572265625
84157244,1436.4801025390625,1501.4818115234375
84157246,539.71484375,578.9883422851562
84157248,-1353.143798828125,-1398.078857421875
84157250,-1573.4783935546875,-1623.43115234375
84157252,-497.4465026855469,-499.09967041015625
84157254,1618.911865234375,1702.8878173828125
84157256,1825.8175048828125,1892.277099609375
84157258,1565.9185791015625,1617.8568115234375
84157260,1535.874755859375,1597.4163818359375
84157262,1119.3636474609375,1187.94580078125
84157264,-439.9754943847656,-436.3451232910156
84157266,-1773.3558349609375,-1829.7635498046875
84157268,-1305.945068359375,-1336.6160888671875
84157270,494.455810546875,542.11572265625
84157272,1888.9666748046875,1978.76611328125
84157274,1535.662841796875,1584.3321533203125
84157276,1560.52294921875,1618.002197265625
84157278,1317.263916015625,1379.3455810546875
84157280,502.5057373046875,544.8322143554688
84157282,-1390.6727294921875,-1442.939208984375
84157284,-1741.309814453125,-1804.15576171875
84157286,-744.3732299804688,-765.8355712890625
84157288,1313.5047607421875,1380.5584716796875
84157290,1712.341796875,1765.4139404296875
84157292,1425.4686279296875,1462.5780029296875
84157294,1420.7666015625,1468.2977294921875
84157296,1017.6762084960938,1067.329833984375
84157298,-428.85595703125,-436.3077392578125
84157300,-1840.3056640625,-1911.7789306640625
84157302,-1517.386474609375,-1564.47314453125
84157304,210.44039916992188,235.4499969482422
84157306,1779.0008544921875,1850.4117431640625
84157308,1414.69384765625,1450.8271484375
84157310,1487.1431884765625,1530.9483642578125
84157312,1241.9111328125,1286.4432373046875
84157314,503.5483093261719,538.51025390625
84157316,-1417.6678466796875,-1471.533447265625
84157318,-1860.305908203125,-1929.311767578125
84157320,-955.1542358398438,-984.4962158203125
84157322,1153.4573974609375,1207.8505859375
84157324,1645.05126953125,1693.259521484375
84157326,1306.9833984375,1342.9007568359375
84157328,1321.3262939453125,1370.5189208984375
84157330,946.3857421875,997.7548828125
84157332,-403.5015869140625,-398.799560546875
84157334,-1961.6319580078125,-2023.39794921875
84157336,-1675.626953125,-1723.1539306640625
84157338,-23.18611717224121,-9.914952278137207
84157340,1647.958984375,1718.6553955078125
84157342,1333.5091552734375,1366.12841796875
84157344,1373.3599853515625,1416.84130859375
84157346,1129.92236328125,1185.8565673828125
84157348,433.8778076171875,479.3237609863281
84157350,-1421.0074462890625,-1462.45751953125
84157352,-1955.8209228515625,-2017.2586669921875
84157354,-1144.2901611328125,-1174.6912841796875
84157356,972.8740844726562,1025.730224609375
84157358,1702.077880859375,1643.825927734375
84157360,1564.5770263671875,1350.4189453125
84157362,1430.1165771484375,1347.660888671875
84157364,1096.8046875,985.6384887695312
84157366,-257.50213623046875,-368.02874755859375
84157368,-1889.9302978515625,-2070.845947265625
84157370,-1695.8804931640625,-1846.9931640625
84157372,-147.95584106445312,-227.3460693359375
84157374,1574.458740234375,1571.2562255859375
84157376,1365.3392333984375,1337.7542724609375
84157378,1351.0711669921875,1334.622314453125
84157380,1193.9189453125,1191.9666748046875
84157382,540.8861694335938,536.2506103515625
84157384,-1350.2611083984375,-1431.6451416015625
84157386,-2020.1954345703125,-2133.0439453125
84157388,-1285.612548828125,-1363.76904296875
84157390,789.6322631835938,804.3364868164062
84157392,1551.3389892578125,1576.4857177734375
84157394,1221.3917236328125,1220.7977294921875
84157396,1241.342041015625,1254.8914794921875
84157398,921.770751953125,945.7501831054688
84157400,-315.9284973144531,-330.0428771972656
84157402,-2037.11767578125,-2130.82177734375
84157404,-1862.9476318359375,-1944.0367431640625
84157406,-407.1111755371094,-425.7780456542969
84157408,1455.446044921875,1504.7716064453125
84157410,1287.15771484375,1307.0291748046875
84157412,1242.833251953125,1269.62060546875
84157414,1062.7607421875,1103.3011474609375
84157416,505.62103271484375,543.6276245117188
84157418,-1309.5836181640625,-1350.2652587890625
84157420,-2150.356689453125,-2220.010498046875
84157422,-1469.5147705078125,-1511.982421875
84157424,636.5299682617188,676.6217651367188
84157426,1580.531494140625,1630.8953857421875
84157428,1170.4337158203125,1187.7464599609375
84157430,1203.1651611328125,1232.78955078125
84157432,872.5407104492188,902.5888061523438
84157434,-218.7686309814453,-223.35018920898438
84157436,-2020.091552734375,-2103.452880859375
84157438,-1908.347900390625,-1985.2459716796875
84157440,-627.4540405273438,-649.1531372070312
84157442,1384.998779296875,1439.4625244140625
84157444,1287.7100830078125,1318.8714599609375
84157446,1220.72705078125,1250.9537353515625
84157448,1064.1148681640625,1101.2325439453125
84157450,556.8531494140625,599.6489868164062
84157452,-1231.3939208984375,-1271.8760986328125
84157454,-2176.09326171875,-2264.57177734375
84157456,-1554.151123046875,-1611.833984375
84157458,465.2633972167969,498.3021545410156
84157460,1500.1900634765625,1554.2508544921875
84157462,1108.970947265625,1129.295166015625
84157464,1220.2120361328125,1251.618408203125
84157466,899.4901123046875,936.8446044921875
84157468,-101.13085174560547,-96.02591705322266
84157470,-1983.34765625,-2058.110595703125
84157472,-1992.6229248046875,-2062.974609375
84157474,-722.4456787109375,-746.7200927734375
84157476,1263.3692626953125,1319.9097900390625
84157478,1251.7762451171875,1285.5916748046875
84157480,1178.6290283203125,1207.5098876953125
84157482,997.9833374023438,1036.8414306640625
84157484,569.9124755859375,610.3988647460938
84157486,-1108.044677734375,-1137.6192626953125
84157488,-2234.029296875,-2314.5869140625
84157490,-1628.59423828125,-1675.722412109375
84157492,305.7477111816406,333.7604675292969
84157494,1514.9150390625,1574.861572265625
84157496,1091.1722412109375,1117.9346923828125
84157498,1187.1317138671875,1227.6015625
84157500,900.3457641601562,946.676513671875
84157502,-4.278341293334961,16.751991271972656
84157504,-1901.1204833984375,-1964.5728759765625
84157506,-2030.367919921875,-2097.01025390625
84157508,-893.0393676757812,-912.1880493164062
84157510,1194.1597900390625,1257.354736328125
84157512,1287.8388671875,1327.6856689453125
84157514,1126.0179443359375,1159.9248046875
84157516,1068.5968017578125,1108.1900634765625
84157518,632.4343872070312,676.5635986328125
84157520,-991.6904296875,-1013.3729248046875
84157522,-2205.6220703125,-2284.958251953125
84157524,-1707.1163330078125,-1764.7244873046875
84157526,121.45089721679688,143.09597778320312
84157528,1466.8106689453125,1531.1934814453125
84157530,1104.1319580078125,1134.5413818359375
84157532,1175.12744140625,1220.29931640625
84157534,895.980224609375,947.7440185546875
84157536,21.95245933532715,55.967350006103516
84157538,-1858.233154296875,-1909.751953125
84157540,-2125.79150390625,-2183.90625
84157542,-1019.0386352539062,-1038.0377197265625
84157544,1062.482421875,1124.6513671875
84157546,1337.268310546875,1383.137939453125
84157548,1116.3770751953125,1148.5394287109375
84157550,1109.3905029296875,1145.38671875
84157552,647.3088989257812,688.6011352539062
84157554,-890.3103637695312,-911.5691528320312
