samplestamps,C1
82997636,2160.7783203125
82997638,1317.52978515625
82997640,-749.4739990234375
82997642,-3812.683349609375
82997644,-3612.249267578125
82997646,-1135.7584228515625
82997648,2408.951171875
82997650,2338.4873046875
82997652,2277.35693359375
82997654,1880.40576171875
82997656,686.694580078125
82997658,-2383.443115234375
82997660,-4048.49462890625
82997662,-2879.39013671875
82997664,728.2360229492188
82997666,2742.458251953125
82997668,2082.139892578125
82997670,2180.728759765625
82997672,1426.614990234375
82997674,-497.5087890625
82997676,-3717.633544921875
82997678,-3716.682373046875
82997680,-1464.526123046875
82997682,2281.489990234375
82997684,2420.53173828125
82997686,2259.5498046875
82997688,1905.922119140625
82997690,834.654541015625
82997692,-2168.068115234375
82997694,-4066.94970703125
82997696,-2997.43505859375
82997698,451.32763671875
82997700,2714.437255859375
82997702,2107.955322265625
82997704,2215.968994140625
82997706,1481.4608154296875
82997708,-275.55426025390625
82997710,-3536.655517578125
82997712,-3792.176513671875
82997714,-1705.2430419921875
82997716,2059.40234375
82997718,2447.988037109375
82997720,2166.70166015625
82997722,1934.130126953125
82997724,938.4105834960938
82997726,-1887.63330078125
82997728,-4072.141845703125
82997730,-3158.101318359375
82997732,179.1337432861328
82997734,2732.9130859375
82997736,2136.761474609375
82997738,2227.072021484375
82997740,1525.7437744140625
82997742,-70.87924194335938
82997744,-3396.68310546875
82997746,-3848.800048828125
82997748,-1945.2039794921875
82997750,1894.291748046875
82997752,2498.14013671875
82997754,2149.388916015625
82997756,1975.090087890625
82997758,1047.1302490234375
82997760,-1661.32568359375
82997762,-4001.4287109375
82997764,-3235.1904296875
82997766,-110.48089599609375
82997768,2705.79345703125
82997770,2151.25390625
82997772,2261.53125
82997774,1605.6988525390625
82997776,118.1736068725586
82997778,-3215.94189453125
82997780,-3895.12646484375
82997782,-2144.0595703125
82997784,1675.70166015625
82997786,2559.544677734375
82997788,2115.249267578125
82997790,2030.6046142578125
82997792,1166.2135009765625
82997794,-1371.4576416015625
82997796,-4029.41259765625
82997798,-3393.46826171875
82997800,-430.6545104980469
82997802,2649.5185546875
82997804,2161.7919921875
82997806,2255.076416015625
82997808,1653.234130859375
82997810,306.470458984375
82997812,-3009.35205078125
82997814,-3937.062744140625
82997816,-2443.56005859375
82997818,1447.0513916015625
82997820,2654.635986328125
82997822,2096.94384765625
82997824,2086.54296875
82997826,1256.6029052734375
82997828,-1103.5670166015625
82997830,-3930.74072265625
82997832,-3468.2021484375
82997834,-731.1851806640625
82997836,2598.323974609375
82997838,2247.005615234375
82997840,2232.978515625
82997842,1732.5662841796875
82997844,463.198974609375
82997846,-2816.00439453125
82997848,-4004.020751953125
82997850,-2567.918701171875
82997852,1189.5325927734375
82997854,2689.2158203125
82997856,2122.551513671875
82997858,2239.508056640625
82997860,1616.2742919921875
82997862,-707.9367065429688
82997864,-3681.625
82997866,-3466.511474609375
82997868,-907.6438598632812
82997870,2563.220703125
82997872,2389.5908203125
82997874,2339.152099609375
82997876,1864.1065673828125
82997878,721.2909545898438
82997880,-2507.8515625
82997882,-3977.3994140625
82997884,-2746.072021484375
82997886,919.2369384765625
82997888,2763.55517578125
82997890,2128.2421875
82997892,2183.83984375
82997894,1385.933349609375
82997896,-638.0294799804688
82997898,-3762.036865234375
82997900,-3712.7861328125
82997902,-1370.431640625
82997904,2301.755859375
82997906,2326.719970703125
82997908,2174.01220703125
82997910,1804.143310546875
82997912,765.5780029296875
82997914,-2327.613037109375
82997916,-4045.18017578125
82997918,-2938.90478515625
82997920,636.2018432617188
82997922,2759.496826171875
82997924,2071.950927734375
82997926,2179.69873046875
82997928,1491.03515625
