samplestamps,C1,C2,C3,C4
85098288,-863.3485107421875,-880.9977416992188,-929.9411010742188,-926.03662109375
85098290,-2617.3896484375,-2705.469482421875,-2805.7197265625,-2800.431884765625
85098292,-2151.856201171875,-2222.411376953125,-2304.99169921875,-2293.97607421875
85098294,-139.69822692871094,-139.2662353515625,-160.08058166503906,-149.7959442138672
85098296,1781.908447265625,1833.572509765625,1866.370361328125,1875.4129638671875
85098298,1428.48828125,1444.1104736328125,1462.2374267578125,1464.7918701171875
85098300,1488.7132568359375,1514.5701904296875,1537.162353515625,1539.6005859375
85098302,1186.0849609375,1226.2308349609375,1247.11572265625,1247.5228271484375
85098304,282.6654357910156,307.0395202636719,316.53912353515625,313.6938171386719
85098306,-2011.298095703125,-2074.68408203125,-2138.435546875,-2142.622314453125
85098308,-2563.370361328125,-2646.25390625,-2728.804931640625,-2727.30126953125
85098310,-1429.319091796875,-1470.403564453125,-1523.3843994140625,-1519.5546875
85098312,1096.509765625,1150.76171875,1170.304931640625,1170.6123046875
85098314,1751.1168212890625,1806.22021484375,1838.5653076171875,1832.5008544921875
85098316,1369.7421875,1396.22216796875,1418.648193359375,1408.7706298828125
85098318,1360.8157958984375,1399.848388671875,1431.51220703125,1417.190185546875
85098320,921.3054809570312,958.6060180664062,991.1795654296875,981.3892211914062
85098322,-681.3445434570312,-702.541015625,-707.9658203125,-720.123779296875
85098324,-2598.1826171875,-2695.001953125,-2757.95166015625,-2764.730712890625
85098326,-2211.258544921875,-2292.84619140625,-2354.1220703125,-2353.49072265625
85098328,-290.43707275390625,-304.23992919921875,-311.2887878417969,-307.5047607421875
85098330,1815.4996337890625,1767.985107421875,1806.1287841796875,1808.380126953125
85098332,1751.291259765625,1514.4581298828125,1515.9825439453125,1506.9896240234375
85098334,1587.916748046875,1484.073486328125,1494.6572265625,1493.481689453125
85098336,1392.23046875,1258.372314453125,1267.2904052734375,1266.4512939453125
85098338,501.74560546875,403.73834228515625,408.191162109375,412.2867126464844
85098340,-1758.3485107421875,-1942.5830078125,-2002.5628662109375,-2000.92626953125
85098342,-2505.41748046875,-2697.012451171875,-2779.148193359375,-2773.777587890625
85098344,-1455.3587646484375,-1606.0186767578125,-1663.53955078125,-1649.23828125
85098346,1014.3781127929688,959.6818237304688,984.7537231445312,997.5721435546875
85098348,1852.168701171875,1820.4383544921875,1858.0296630859375,1862.9019775390625
85098350,1447.848876953125,1397.09033203125,1422.411376953125,1420.1268310546875
85098352,1500.7548828125,1473.1201171875,1503.5338134765625,1499.6043701171875
85098354,1027.836181640625,1015.7695922851562,1044.24755859375,1039.7158203125
85098356,-512.4373168945312,-568.861572265625,-581.5096435546875,-584.9364624023438
85098358,-2505.58349609375,-2633.991943359375,-2714.00537109375,-2716.642822265625
85098360,-2233.20703125,-2341.01708984375,-2416.639892578125,-2413.877685546875
85098362,-420.8641662597656,-462.18133544921875,-481.7080078125,-477.67889404296875
85098364,1665.60400390625,1696.4786376953125,1739.9017333984375,1739.0501708984375
85098366,1463.952880859375,1469.8262939453125,1493.9012451171875,1490.2833251953125
85098368,1461.468994140625,1474.7152099609375,1496.2315673828125,1497.5357666015625
85098370,1205.6822509765625,1230.10205078125,1255.0867919921875,1252.6776123046875
85098372,477.4006042480469,501.75390625,514.3521728515625,512.69482421875
85098374,-1762.232177734375,-1820.52978515625,-1879.6497802734375,-1877.294677734375
85098376,-2619.8486328125,-2704.4599609375,-2793.275146484375,-2786.23046875
85098378,-1626.8497314453125,-1682.090087890625,-1743.129150390625,-1731.0709228515625
85098380,806.7539672851562,842.1229858398438,849.0596923828125,859.53955078125
85098382,1783.490966796875,1829.7469482421875,1865.0577392578125,1866.150146484375
85098384,1391.43701171875,1410.3282470703125,1429.049072265625,1429.10302734375
85098386,1397.6427001953125,1430.2578125,1459.8905029296875,1459.774169921875
85098388,982.1742553710938,1022.9638671875,1053.7264404296875,1053.323486328125
85098390,-392.726806640625,-395.8670349121094,-407.23162841796875,-400.85980224609375
85098392,-2481.703857421875,-2566.394287109375,-2646.7978515625,-2642.091796875
85098394,-2326.287841796875,-2399.439208984375,-2475.52734375,-2468.52392578125
85098396,-649.4273071289062,-660.7628173828125,-691.0725708007812,-675.0682983398438
85098398,1594.7081298828125,1658.1480712890625,1691.195068359375,1704.250244140625
85098400,1536.173828125,1568.7763671875,1588.12451171875,1591.792236328125
85098402,1432.949462890625,1459.952880859375,1479.720458984375,1483.637451171875
85098404,1214.7125244140625,1249.267333984375,1279.523193359375,1279.35693359375
85098406,558.26123046875,591.33740234375,615.2462768554688,617.7094116210938
85098408,-1600.332275390625,-1642.7750244140625,-1684.7900390625,-1682.8460693359375
85098410,-2648.16455078125,-2727.450927734375,-2803.9501953125,-2793.3125
85098412,-1804.720703125,-1853.0576171875,-1899.3094482421875,-1890.69873046875
85098414,633.0283813476562,671.7785034179688,692.3477783203125,706.3333740234375
85098416,1802.4486083984375,1859.5374755859375,1907.71240234375,1912.626220703125
85098418,1308.1796875,1330.2193603515625,1363.2540283203125,1361.7545166015625
85098420,1397.3602294921875,1431.5455322265625,1475.3050537109375,1468.6922607421875
85098422,1052.642333984375,1094.4454345703125,1133.9805908203125,1133.5860595703125
85098424,-297.6977844238281,-286.8316345214844,-283.5709533691406,-282.5989990234375
85098426,-2430.01904296875,-2512.7861328125,-2575.25830078125,-2572.6787109375
85098428,-2366.0556640625,-2444.170654296875,-2511.79345703125,-2497.201416015625
85098430,-756.880126953125,-779.8004150390625,-800.6064453125,-789.1421508789062
85098432,1568.8677978515625,1626.9327392578125,1674.8709716796875,1681.5667724609375
85098434,1536.1363525390625,1562.5872802734375,1605.9273681640625,1606.8577880859375
85098436,1411.5992431640625,1439.005615234375,1474.7069091796875,1474.843994140625
85098438,1240.125,1276.88134765625,1317.297119140625,1318.231689453125
85098440,612.2015991210938,650.7897338867188,686.5906982421875,688.9043579101562
85098442,-1443.0845947265625,-1482.424560546875,-1512.6761474609375,-1512.609619140625
85098444,-2681.992431640625,-2768.93017578125,-2835.57666015625,-2833.287841796875
85098446,-1925.2286376953125,-1981.220947265625,-2030.3096923828125,-2024.2078857421875
85098448,442.1686706542969,478.06103515625,492.345703125,498.5638427734375
85098450,1807.9190673828125,1870.9228515625,1921.091552734375,1912.912841796875
85098452,1358.3692626953125,1386.9219970703125,1414.9097900390625,1398.922119140625
85098454,1434.860107421875,1475.803466796875,1510.77783203125,1499.9864501953125
85098456,1029.67626953125,1077.37353515625,1108.4849853515625,1101.8182373046875
85098458,-120.00955200195312,-104.68644714355469,-104.3250732421875,-104.66983032226562
85098460,-2386.1513671875,-2461.58740234375,-2529.5712890625,-2526.788330078125
85098462,-2433.325439453125,-2507.731201171875,-2581.9541015625,-2569.99560546875
85098464,-930.6181640625,-954.95068359375,-981.06103515625,-968.24267578125
85098466,1436.7708740234375,1496.9500732421875,1541.482177734375,1548.5643310546875
85098468,1628.7769775390625,1664.8563232421875,1701.22216796875,1702.5887451171875
85098470,1411.5162353515625,1444.5673828125,1472.796142578125,1470.1295166015625
85098472,1294.0279541015625,1334.9130859375,1367.8729248046875,1366.5811767578125
85098474,673.385986328125,721.3408203125,745.6650390625,744.8841552734375
85098476,-1276.524169921875,-1299.701904296875,-1340.578857421875,-1344.628662109375
85098478,-2683.230224609375,-2759.0068359375,-2843.933837890625,-2845.906982421875
85098480,-1986.670654296875,-2040.137451171875,-2098.837890625,-2098.15673828125
85098482,333.78955078125,362.9861145019531,369.71929931640625,370.9820556640625
85098484,1831.6824951171875,1896.6800537109375,1936.3648681640625,1936.21533203125
85098486,1402.872314453125,1439.9111328125,1465.124267578125,1461.4398193359375
85098488,1399.7403564453125,1444.9288330078125,1474.902099609375,1471.19287109375
85098490,1082.24169921875,1129.92236328125,1163.4097900390625,1164.3319091796875
85098492,-17.02613639831543,5.474615573883057,13.042710304260254,17.312744140625
85098494,-2280.655029296875,-2349.37841796875,-2415.256591796875,-2408.85986328125
85098496,-2467.0205078125,-2541.990966796875,-2605.634521484375,-2601.115234375
85098498,-1112.173583984375,-1144.3358154296875,-1168.8927001953125,-1160.90087890625
85098500,1370.419189453125,1428.434326171875,1469.082763671875,1475.49609375
85098502,1620.5194091796875,1658.67138671875,1699.2574462890625,1695.6229248046875
85098504,1368.52099609375,1401.160888671875,1424.20166015625,1420.895263671875
85098506,1327.87255859375,1364.7493896484375,1394.8763427734375,1396.6251220703125
85098508,749.9849243164062,793.9895629882812,817.1050415039062,821.557861328125
85098510,-1124.11962890625,-1144.4521484375,-1178.8076171875,-1178.5833740234375
85098512,-2658.092041015625,-2740.464599609375,-2819.410400390625,-2814.247314453125
85098514,-2074.966552734375,-2139.9931640625,-2201.331298828125,-2194.037353515625
85098516,141.67124938964844,156.04730224609375,156.70774841308594,166.05780029296875
85098518,1769.7005615234375,1827.16748046875,1869.107666015625,1870.993408203125
85098520,1407.158935546875,1430.785400390625,1460.1107177734375,1449.5518798828125
85098522,1399.90234375,1434.0626220703125,1464.6673583984375,1458.428466796875
85098524,1122.6866455078125,1167.14404296875,1197.22119140625,1192.95947265625
85098526,63.581138610839844,86.27711486816406,96.71543884277344,93.0933837890625
85098528,-2177.91259765625,-2249.5478515625,-2312.077880859375,-2314.009521484375
85098530,-2506.667724609375,-2586.34033203125,-2662.88525390625,-2653.8759765625
85098532,-1270.796142578125,-1306.4974365234375,-1347.4490966796875,-1338.501953125
85098534,1252.24560546875,1301.6085205078125,1337.3720703125,1346.751220703125
85098536,1661.4586181640625,1696.1961669921875,1739.6109619140625,1741.3721923828125
85098538,1381.7755126953125,1407.528564453125,1438.5487060546875,1444.260009765625
85098540,1314.1153564453125,1352.73681640625,1388.654052734375,1396.76220703125
85098542,859.1033935546875,906.0737915039062,934.2152709960938,943.382568359375
85098544,-954.3982543945312,-973.6425170898438,-990.9385986328125,-987.8731689453125
85098546,-2651.200927734375,-2732.19873046875,-2807.518310546875,-2804.390380859375
85098548,-2117.699951171875,-2178.115966796875,-2236.716796875,-2232.87060546875
85098550,-16.108163833618164,-1.5078037977218628,0.041537296026945114,7.310564041137695
85098552,1754.4439697265625,1822.4903564453125,1863.89892578125,1865.431640625
85098554,1401.8504638671875,1431.6492919921875,1453.32763671875,1452.0108642578125
85098556,1432.5797119140625,1473.3486328125,1497.652099609375,1494.2459716796875
85098558,1150.9693603515625,1195.22314453125,1221.4456787109375,1221.4415283203125
85098560,201.48910522460938,233.3191375732422,243.14271545410156,242.45733642578125
85098562,-2070.73388671875,-2128.35009765625,-2186.070556640625,-2190.14111328125
85098564,-2610.673095703125,-2689.60205078125,-2760.684814453125,-2756.651611328125
85098566,-1425.5433349609375,-1470.30810546875,-1510.6531982421875,-1503.3634033203125
85098568,1140.6141357421875,1177.7608642578125,1213.93994140625,1215.833984375
85098570,1707.822509765625,1739.419921875,1784.317626953125,1775.8232421875
85098572,1395.046630859375,1408.733154296875,1439.69091796875,1429.2276611328125
85098574,1337.7459716796875,1366.4150390625,1403.6822509765625,1396.301025390625
85098576,839.3981323242188,877.2676391601562,910.26904296875,903.4610595703125
85098578,-843.8924560546875,-861.072265625,-873.7369995117188,-884.7900390625
85098580,-2631.23388671875,-2720.03662109375,-2788.83056640625,-2794.703857421875
85098582,-2215.781982421875,-2286.48681640625,-2344.82177734375,-2344.817626953125
85098584,-175.32891845703125,-173.1814422607422,-171.8231658935547,-169.90414428710938
85098586,1710.7716064453125,1771.1544189453125,1823.7281494140625,1819.92333984375
85098588,1461.79296875,1487.625,1522.1756591796875,1506.109130859375
85098590,1413.3978271484375,1443.666015625,1483.33837890625,1467.3963623046875
85098592,1186.703857421875,1218.779052734375,1254.8956298828125,1246.0067138671875
85098594,321.41558837890625,341.9682312011719,371.7878723144531,361.81060791015625
85098596,-1955.2103271484375,-2026.8870849609375,-2064.993408203125,-2074.821044921875
85098598,-2593.343505859375,-2681.656005859375,-2743.284912109375,-2743.0107421875
85098600,-1517.9056396484375,-1563.821044921875,-1596.8265380859375,-1599.659423828125
85098602,1031.998291015625,1075.6373291015625,1109.5234375,1114.2213134765625
85098604,1715.5775146484375,1766.3070068359375,1805.3935546875,1805.00732421875
85098606,1377.9207763671875,1412.969970703125,1434.498779296875,1431.9691162109375
85098608,1364.32568359375,1408.363525390625,1438.2745361328125,1435.989990234375
85098610,909.5878295898438,960.7119140625,988.6665649414062,987.432861328125
85098612,-671.3963623046875,-675.1513671875,-686.8191528320312,-689.46923828125
85098614,-2599.063232421875,-2678.99755859375,-2755.4345703125,-2755.447021484375
85098616,-2278.474365234375,-2343.438720703125,-2408.880615234375,-2401.61572265625
85098618,-415.2151184082031,-415.6470947265625,-423.0697937011719,-419.9005126953125
85098620,1733.4842529296875,1794.4443359375,1840.201904296875,1841.6763916015625
85098622,1467.649658203125,1495.9947509765625,1525.7479248046875,1522.51220703125
85098624,1408.068603515625,1442.2579345703125,1470.578125,1471.0350341796875
85098626,1173.4991455078125,1215.3023681640625,1238.0648193359375,1245.7781982421875
85098628,363.542724609375,392.79327392578125,405.39154052734375,414.0977478027344
85098630,-1812.8662109375,-1870.8480224609375,-1929.7105712890625,-1924.08642578125
85098632,-2597.9833984375,-2680.97900390625,-2765.85205078125,-2756.1240234375
85098634,-1622.862060546875,-1670.5677490234375,-1725.475830078125,-1711.5941162109375
85098636,858.634033203125,892.9937133789062,909.6044311523438,924.524658203125
85098638,1744.333740234375,1784.5916748046875,1824.467529296875,1830.7728271484375
85098640,1360.3671875,1379.582275390625,1401.2025146484375,1406.1080322265625
85098642,1381.572021484375,1414.0250244140625,1436.00244140625,1448.3306884765625
85098644,971.1668701171875,1013.8755493164062,1038.16650390625,1047.3878173828125
85098646,-553.2186279296875,-552.9029541015625,-563.1585083007812,-557.364013671875
85098648,-2531.050048828125,-2610.938720703125,-2686.84814453125,-2685.12451171875
85098650,-2335.36376953125,-2404.020751953125,-2471.269775390625,-2463.59765625
85098652,-544.848876953125,-552.5664672851562,-566.8469848632812,-554.281982421875
85098654,1679.3819580078125,1736.6160888671875,1786.145263671875,1792.0601806640625
85098656,1471.267578125,1500.775634765625,1536.3441162109375,1536.4063720703125
