samplestamps,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16
84756006,1040.301513671875,1095.1058349609375,1122.591064453125,1128.59326171875,1115.6376953125,1103.5087890625,1117.1871337890625,1060.7794189453125,1108.946044921875,1111.1060791015625,1108.6927490234375,1100.5555419921875,1098.7320556640625,1094.3623046875,1074.93115234375,1039.8570556640625
84756008,320.81329345703125,372.0246276855469,393.4620361328125,399.15264892578125,386.5211486816406,379.2105712890625,386.3716125488281,347.52593994140625,377.3870849609375,378.134765625,373.67364501953125,367.3018493652344,364.149169921875,363.8210144042969,352.7886962890625,334.8653564453125
84756010,-1920.090576171875,-1957.1292724609375,-2004.864013671875,-1995.6883544921875,-2013.2752685546875,-1987.1317138671875,-2016.9554443359375,-1948.630859375,-2020.8890380859375,-2021.95654296875,-2037.088623046875,-2034.4552001953125,-2035.1031494140625,-2010.616943359375,-2006.2347412109375,-1957.3660888671875
84756012,-2875.410888671875,-2951.42822265625,-3030.0625,-3012.85791015625,-3036.2060546875,-2990.955322265625,-3039.77392578125,-2925.47998046875,-3044.218505859375,-3043.449951171875,-3058.976806640625,-3056.45947265625,-3053.5810546875,-3020.712646484375,-3004.135009765625,-2926.730224609375
84756014,-2011.534912109375,-2061.379638671875,-2113.263916015625,-2089.6083984375,-2113.953369140625,-2081.857421875,-2115.918212890625,-2032.203857421875,-2112.387451171875,-2116.615966796875,-2130.539306640625,-2129.426025390625,-2123.444580078125,-2095.947021484375,-2086.775634765625,-2032.57763671875
84756016,567.4119262695312,607.8027954101562,633.59326171875,652.7669067382812,636.1810302734375,628.8414306640625,638.1416015625,602.7186279296875,642.5030517578125,636.4302978515625,630.56103515625,626.0459594726562,629.942138671875,630.9514770507812,623.0054321289062,601.069580078125
84756018,1630.716796875,1690.563720703125,1746.464599609375,1753.2684326171875,1744.1883544921875,1714.900390625,1738.5517578125,1672.5615234375,1739.2247314453125,1734.7386474609375,1730.3232421875,1728.9566650390625,1732.9276123046875,1723.10400390625,1709.8660888671875,1657.0181884765625
84756020,1126.7447509765625,1155.970458984375,1187.900146484375,1193.333251953125,1180.3819580078125,1166.6871337890625,1170.2841796875,1140.6846923828125,1176.631103515625,1171.231201171875,1170.188720703125,1165.8563232421875,1172.3154296875,1162.5831298828125,1159.63818359375,1122.877685546875
84756022,1242.579833984375,1295.2034912109375,1334.1571044921875,1334.9754638671875,1320.6201171875,1299.1536865234375,1316.0966796875,1266.189697265625,1320.52880859375,1313.2431640625,1310.011474609375,1307.0291748046875,1316.5660400390625,1300.5908203125,1295.2740478515625,1250.8665771484375
84756024,809.43310546875,865.329833984375,903.1869506835938,907.4154052734375,892.5617065429688,867.0951538085938,886.6966552734375,835.6057739257812,892.37890625,884.6405639648438,882.65087890625,873.22607421875,886.4598388671875,869.296630859375,865.60400390625,829.5537719726562
